UF;CodUF;Codmundv;Codmun;nomemun;VAR01;VAR02;VAR03;VAR04;VAR05;VAR06;VAR07;VAR08;VAR09;VAR10;VAR11;VAR12;VAR13;VAR14;VAR15;VAR16;VAR17;VAR18;VAR19;VAR20;VAR21;VAR22;VAR23;VAR24
PA;15;1506807;150680;Santarém;361278;1825155;294580;1765658,373;2C;Capital Regional C;;;;;;;103082;1739127;145505;1884333;98406;1779099;146715;3721252;191629;4056529;431;06:06:49
PA;15;1508100;150810;Tucuruí;24548;4945;97128;2170090,099;3B;Centro Subregional B;;;;;;;19396;260582;117;400;7908;63514;10308;123028;22456;266860;;
AP;16;1600303;160030;Macapá;456929;2438850;398204;4679694,208;2C;Capital Regional C;31348;523351;;;86281;1447009;110226;1786456;189696;2054142;164331;2315485;198391;5203232;385989;7690883;458;06:19:13
AP;16;1600709;160070;Tartarugalzinho;19;0;12563;119988,026;5;Centro Local;;;;;;;;;;;;;;;;;;
TO;17;1702109;170210;Araguaína;37941;6683;150484;1582446,904;2C;Capital Regional C;;;;;;;;;;;11404;45960;13555;236836;27454;349183;;
TO;17;1709500;170950;Gurupi;4170;15359;76755;934583,612;3B;Centro Subregional B;;;;;;;;;;;4193;16528;2888;26806;;;;
TO;17;1721000;172100;Palmas;277429;1582776;228332;2964230,631;2B;Capital Regional B;;;;;;;;;;;13569;101065;61592;1149387;193042;3114522;316;04:37:52
MA;21;2101400;210140;Balsas;1206;786;83528;1120221,334;3B;Centro Subregional B;;;;;;;;;;;;;;;;;;
MA;21;2105302;210530;Imperatriz;178258;462697;247505;2000734,557;2C;Capital Regional C;;;;;;;34010;454168;48097;454365;34503;273063;73070;1621898;62854;1070442;413;04:57:44
MA;21;2111300;211130;São Luís;952963;5511231;1014837;15337346,522;2A;Capital Regional A;69328;1113253;85960;1156660;161890;1813063;223939;3475154;304396;3969467;258407;3990123;374192;10915666;966980;18353670;352;04:14:54
PI;22;2208007;220800;Picos;12;0;73414;578547,299;3A;Centro Subregional A;;;;;;;;;;;;;;;;;;
PI;22;2211001;221100;Teresina;527907;3330506;814230;8700461,433;2A;Capital Regional A;34622;389219;57716;657768;91185;1287059;116702;1576338;187842;1940373;127869;3027451;250108;7261050;302320;6747506;361;04:34:05
CE;23;2304400;230440;Fortaleza;3858424;33673910;2452185;31789186,066;1C;Metrópole;186069;4397834;229687;5944802;527841;8825508;727175;15275806;992777;16885447;1176233;18507608;1613162;46245784;2273071;58810911;304;03:26:24
CE;23;2307304;230730;Juazeiro Do Norte;236034;641887;249939;1595504,096;2C;Capital Regional C;;;;;;;5237;25490;;;24424;148414;42262;615570;44104;643964;536;04:15:33
RN;24;2408003;240800;Mossoró;0;797;259815;2910955,597;2C;Capital Regional C;;;;;;;;;;;504;1615;901;9425;6452;99965;;
RN;24;2408102;240810;Natal;1751132;4737472;803739;10369581,172;2A;Capital Regional A;34341;527058;59637;582910;154529;1240883;225371;2421591;415696;3258620;573158;4724484;810431;17980449;994384;19304304;340;04:31:05
PB;25;2504009;250400;Campina Grande;54303;219339;385213;3894133,462;2B;Capital Regional B;;;;;;;6736;51426;24806;251603;26355;303992;17654;295639;42561;681083;504;06:12:30
PB;25;2507507;250750;João Pessoa;556117;1617870;723515;8638329,299;2A;Capital Regional A;1608;143605;1021;14642;12402;108211;72597;893428;119008;1143677;140676;1924416;286167;6278912;328298;6787511;412;04:59:57
PE;26;2605459;260545;Fernando De Noronha;152607;509682;2630;26980,715;5;Centro Local;;;;;;;9895;149949;;;42088;68017;101717;1449347;128654;2307344;767;04:51:44
PE;26;2611101;261110;Petrolina;204408;417332;293962;2283346,358;2C;Capital Regional C;;;;;;;9330;61398;29662;608754;46717;1296089;94523;1763782;143472;2004727;370;05:48:33
PE;26;2611606;261160;Recife;4791872;26282028;1537704;24835339,753;1C;Metrópole;294704;8006807;442039;9304613;713906;12149098;995591;21492184;1435958;25631485;1375885;29962277;2131530;58392837;2951302;73564273;268;03:27:19
